Sample	posterior	likelihood	prior	Tree.t:simulated_data_A.CFheight	Tree.t:simulated_data_A.CFlength	Tree.t:simulated_data_A.nConv	Tree.t:simulated_data_A.nUselessConvs	Tree.t:simulated_data_A.meanEdgeLength	Tree.t:simulated_data_A.meanDepartureHeight	Tree.t:simulated_data_A.locus.simulated_data_A.meanTractLength	Tree.t:simulated_data_A.locus.simulated_data_A.meanRegionLength	Tree.t:simulated_data_A.locus.simulated_data_A.meanStartSite	Tree.t:simulated_data_A.locus.simulated_data_A.meanEndSite	Tree.t:simulated_data_A.locus.simulated_data_A.randomStartSite	Tree.t:simulated_data_A.locus.simulated_data_A.randomEndSite	Tree.t:simulated_data_A.locus.simulated_data_B.meanTractLength	Tree.t:simulated_data_A.locus.simulated_data_B.meanRegionLength	Tree.t:simulated_data_A.locus.simulated_data_B.meanStartSite	Tree.t:simulated_data_A.locus.simulated_data_B.meanEndSite	Tree.t:simulated_data_A.locus.simulated_data_B.randomStartSite	Tree.t:simulated_data_A.locus.simulated_data_B.randomEndSite	popFinalSize.t:simulated_data_A	popGrowthRate.t:simulated_data_A
0	-39311.36235898757	-39272.10291342458	-39.25944556299176	2.9222806543357978	10.695094683471154	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0	0.1
1000	-22331.542995759668	-22038.267330270362	-293.27566548930605	3.3201567173848496	18.196935756838975	12	0	0.5752417330558929	1.242960264319301	513.1666666666666	296.25	2816.0	3328.1666666666665	4245.0	4326.0	745.1666666666666	294.8181818181818	1456.3333333333333	2200.5	2675.0	3242.0	1.8112007796293168	0.08886297539543801
2000	-21679.697216195826	-21559.777199506738	-119.92001668908925	3.1375872190762717	17.288764761999694	3	0	0.9941615543826083	1.5768522700413135	NaN	NaN	NaN	NaN	NaN	NaN	585.3333333333334	585.3333333333334	3289.6666666666665	3874.0	4459.0	4272.0	3.019363518899605	0.04935301739156708
3000	-21614.926815224535	-21432.59379837325	-182.33301685128262	3.80949300135565	20.691374962976976	6	0	1.3635585127907455	1.3223612378758833	208.0	208.0	2556.3333333333335	2763.3333333333335	1393.0	4999.0	570.0	381.25	2410.3333333333335	2979.3333333333335	4082.0	78.0	4.5036017120607825	0.08781916439432651
4000	-21654.068251198696	-21424.447378986864	-229.62087221183123	3.303457337938064	19.49792823516918	9	0	0.7629305901029095	1.105665103086607	149.85714285714286	126.625	3233.285714285714	3382.1428571428573	2676.0	2838.0	128.5	128.5	1091.5	1219.0	45.0	2365.0	5.705091441249616	0.10303714365277983
5000	-21584.741361265922	-21398.76941384591	-185.97194742001315	3.299427826550605	18.958085337021224	7	0	0.3742097129440255	1.1847554241519982	348.1666666666667	268.85714285714283	1661.8333333333333	2009.0	1370.0	4999.0	42.0	42.0	3563.0	3604.0	3563.0	3604.0	5.777722006172943	0.15385946393449168
6000	-21617.18085542807	-21385.52275408352	-231.65810134455003	3.956152058365992	20.295079974794213	9	0	0.3793676303599365	1.5715091831020027	582.0	582.0	2285.25	2866.25	3934.0	3707.0	451.6	451.6	2852.4	3303.0	4822.0	1937.0	5.024506972613168	0.18670301251820082
7000	-21678.90708174675	-21321.23951467249	-357.667567074263	3.544665171420733	19.821811196141383	16	0	0.5116638062615532	1.2683966153699329	409.14285714285717	241.8	2287.1428571428573	2695.285714285714	243.0	3593.0	338.55555555555554	154.23076923076923	1580.888888888889	1918.4444444444443	3422.0	1757.0	5.066149042869961	0.2809954965740556
8000	-21543.529240247586	-21301.36501441275	-242.164225834838	3.871827882380476	20.842394670994903	9	0	0.41145706032449136	0.5825781206234711	192.75	192.75	1270.25	1462.0	2082.0	2123.0	327.4	184.57142857142858	1223.2	1549.6	4391.0	696.0	3.793155606372405	0.32957109112005006
9000	-21578.897004292765	-21296.616639563836	-282.2803647289305	3.69943255977287	19.739442623271405	12	0	0.36175866943107277	0.7729729649658393	115.66666666666667	115.66666666666667	2933.6666666666665	3048.3333333333335	4588.0	3467.0	412.1111111111111	194.92857142857142	2398.3333333333335	2809.4444444444443	3436.0	681.0	6.478715883960371	0.6890577517846669
