Sample	posterior	likelihood	prior	Tree.t:UUNS01000001.CFheight	Tree.t:UUNS01000001.CFlength	Tree.t:UUNS01000001.nConv	Tree.t:UUNS01000001.nUselessConvs	Tree.t:UUNS01000001.meanEdgeLength	Tree.t:UUNS01000001.meanDepartureHeight	Tree.t:UUNS01000001.locus.UUNS01000001.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000001.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000001.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000001.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000001.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000001.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000002.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000002.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000002.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000002.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000002.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000002.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000012.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000012.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000012.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000012.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000012.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000012.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000014.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000014.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000014.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000014.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000014.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000014.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000015.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000015.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000015.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000015.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000015.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000015.randomEndSite	Tree.t:UUNS01000001.locus.UUNS01000017.meanTractLength	Tree.t:UUNS01000001.locus.UUNS01000017.meanRegionLength	Tree.t:UUNS01000001.locus.UUNS01000017.meanStartSite	Tree.t:UUNS01000001.locus.UUNS01000017.meanEndSite	Tree.t:UUNS01000001.locus.UUNS01000017.randomStartSite	Tree.t:UUNS01000001.locus.UUNS01000017.randomEndSite	popFinalSize.t:UUNS01000001	popGrowthRate.t:UUNS01000001
0	-2626.241452724586	-2613.054870988513	-13.186581736073311	0.7542787556065768	2.983644517961701	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0	0.1
1000	-2699.145604066916	-2512.3884062374855	-186.7571978294306	13.257564751587026	26.83104528698026	12	0	0.9854433051779908	4.704847464354386	215.4	109.75	465.0	679.4	0.0	1085.0	NaN	NaN	NaN	NaN	NaN	NaN	300.8	72.16666666666667	44.2	344.0	0.0	432.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.5	35.0	0.0	53.5	0.0	69.0	3.189771395785779	0.11186037141134549
2000	-2703.6596357239414	-2513.813640054987	-189.84599566895423	15.113569870351796	31.463762889556747	15	2	0.9137724926815013	8.298578675071306	422.0	217.6	382.75	803.75	0.0	137.0	NaN	NaN	NaN	NaN	NaN	NaN	248.75	86.6	61.5	309.25	0.0	423.0	7.0	7.0	2.0	8.0	2.0	8.0	16.0	16.0	0.0	15.0	0.0	15.0	62.8	35.0	7.2	69.0	0.0	69.0	4.000849123718693	0.055372034601078673
3000	-2938.119806970025	-2496.707762163671	-441.41204480635423	33.45746430776581	67.39830073250255	36	6	1.4690751727229783	14.287418364961265	238.33333333333334	56.94736842105263	536.75	774.0833333333334	940.0	1054.0	25.0	49.0	24.0	48.0	48.0	48.0	233.625	72.16666666666667	175.25	407.875	343.0	432.0	9.0	9.0	0.0	8.0	0.0	8.0	16.0	16.0	0.0	15.0	0.0	15.0	48.166666666666664	23.333333333333332	12.166666666666666	59.333333333333336	0.0	69.0	7.147714720612645	0.04887118117190642
4000	-2735.140647895019	-2504.427744902904	-230.71290299211478	17.86218110226147	36.258249434837715	16	2	0.9298680458371769	8.557878909514375	342.7142857142857	79.75	504.85714285714283	846.5714285714286	379.0	245.0	48.0	48.0	1.0	48.0	1.0	48.0	271.0	193.0	162.0	432.0	47.0	432.0	9.0	9.0	0.0	8.0	0.0	8.0	NaN	NaN	NaN	NaN	NaN	NaN	52.0	35.0	18.0	69.0	0.0	69.0	5.951654986276439	0.06755259342765761
5000	-2757.366786486961	-2503.403210466455	-253.96357602050568	24.30118506791565	49.415425300040724	21	1	1.350112298553898	11.293066857962296	353.14285714285717	117.8	704.7142857142857	1056.857142857143	497.0	1060.0	31.75	24.5	17.25	48.0	21.0	48.0	275.0	144.33333333333334	119.66666666666667	393.6666666666667	359.0	432.0	NaN	NaN	NaN	NaN	NaN	NaN	14.666666666666666	8.0	0.0	13.666666666666666	0.0	11.0	56.5	35.0	13.5	69.0	0.0	69.0	5.91942699615505	0.053961788182391376
6000	-2745.4767830393903	-2497.6299385543925	-247.84684448499794	19.007480855682196	38.84833909388244	18	0	4.16208195736812	9.874654929046862	397.75	143.33333333333334	719.0	1115.75	949.0	1065.0	49.0	49.0	0.0	48.0	0.0	48.0	211.25	43.3	59.25	269.5	0.0	90.0	9.0	9.0	0.0	8.0	0.0	8.0	16.0	16.0	0.0	15.0	0.0	15.0	70.0	70.0	0.0	69.0	0.0	69.0	9.61563278258767	0.03887986592637966
7000	-2844.9100646853285	-2495.322864343253	-349.5872003420753	36.89718407643136	74.68131856080649	32	7	2.187692039529213	16.097165624763168	263.1666666666667	120.125	564.3333333333334	826.5	974.0	1177.0	34.0	24.5	0.0	33.0	0.0	48.0	203.75	86.6	87.625	290.375	346.0	232.0	9.0	9.0	0.0	8.0	0.0	8.0	16.0	16.0	0.0	15.0	0.0	15.0	70.0	70.0	0.0	69.0	0.0	69.0	8.492039411672556	0.028631583140621877
8000	-2584.8836530142567	-2498.7915176447646	-86.09213536949191	6.233628819519336	13.079262585395892	6	0	9.56278188597121	2.8689855067977974	536.5	536.5	531.5	1067.0	0.0	957.0	49.0	49.0	0.0	48.0	0.0	48.0	145.0	145.0	0.0	144.0	0.0	144.0	NaN	NaN	NaN	NaN	NaN	NaN	16.0	16.0	0.0	15.0	0.0	15.0	70.0	70.0	0.0	69.0	0.0	69.0	10.263940519502784	0.020815505255816977
9000	-2597.119265621858	-2503.9181862137234	-93.20107940813469	5.426476028064134	11.858891816553477	7	0	8.567948848723853	2.8241385993275707	955.0	955.0	0.0	954.0	0.0	954.0	45.0	45.0	4.0	48.0	4.0	48.0	420.5	216.5	0.0	419.5	0.0	407.0	9.0	9.0	0.0	8.0	0.0	8.0	NaN	NaN	NaN	NaN	NaN	NaN	70.0	70.0	0.0	69.0	0.0	69.0	10.001196730273794	0.03081634812563718
